"* Required Fields","* Required Fields"
"-- No Status Change --","-- No Status Change --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure verification failed"
"3D Secure sucess","3D Secure successfull"
"3DSecure Setting","3D Secure Setting"
"A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'."
"A refund was added over !amount.","A refund was added over !amount."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"AVS Address Check","AVS Address Check"
"AVS Post Code Check","AVS Post Code Check"
"AVSManager Address Settings","AVS Manager Address Settings"
"AVSManager Post Code Settings","AVS Manager Post Code Settings"
"About","About"
"Account Holder","Account holder"
"Account Holder Name","Account holder"
"Account owner name.","Account holder"
"Action","Action"
"Actions","Actions"
"Activate","Active"
"Activate AVS-Manager","Activate AVS Manager"
"Activate RealVault","Activate RealVault"
"Activate the payment method and test.","Activate the payment method and test."
"Active","Active"
"Additional Information","Additional Information"
"Address Verification Result. <br>(M (Matched) <br>N (Not Matched) <br>I (Problem with check) <br>U (Unable to check (not certified etc)) <br>P (Partial Match))","Address Verification Result. <br>(M (Matched) <br>N (Not Matched) <br>I (Problem with check) <br>U (Unable to check (not certified etc)) <br>P (Partial Match))"
"Adjust Qty","Adjust Quantity"
"Adjustment Discount","Adjustment Discount"
"Adjustment Fee","Adjustment Fee"
"After payment selection","After payment method selection"
"Ajax authorization not supported.","Ajax authorization not supported"
"Alias","Alias"
"Alias For Display","Alias For Display"
"Alias Id","Alias ID"
"Alias Token","Alias Token"
"All Customers","All Customers"
