"General","Général"
"trustedshops_en.jpg","trustedshops_fr.jpg"
"Get your account","Créez votre compte"
"http://www.trustbadge.com/en/pricing/","http://www.trustbadge.com/fr/tarifs/"
"The Trusted Shops ID is a unique identifier for your shop. You can find your Trusted Shops ID in your confirmation email after signing up.","L’ID Trusted Shops est un identifiant unique pour votre boutique. Il vous sera envoyé via l’email de confirmation après votre enregistrement."
"Variant","Variante"
"Display Trustbadge with review stars","Afficher le Trustbadge avec les étoiles d'évaluation"
"Display Trustbadge without review stars","Afficher le Trustbadge sans les étoiles d'évaluation"
"Don't show Trustbadge","Masquer le Trustbadge"
"Adjust the y-axis position of your Trustbadge up to 250px vertically from the lower right corner of your shop.","Ajustez la position verticale de votre Trustbadge jusqu'à 250px"
"Trustbadge code","Code Trustbadge"
"Collect Reviews and enable money-back guarantee on your Thank you page","Collecter des avis et activer la garantie de remboursement sur la page remerciements"
"<span style=""color:orange; font-weight:bold"">Guarantee is mandatory for certified shops</span>","<span style=""color:orange; font-weight:bold"">La garantie est obligatoire pour les boutiques certifiées</span>"
"Product Reviews","Avis produits"
"Please activate ""Collect Reviews and enable customer guarantee card on your Thank you page""","Veuillez activer ""Collecter des avis et activer la garantie acheteur sur la page remerciements"""
"Collect Product Reviews","Collecter des avis produits"
"More Traffic, less returns:<br/>Make sure to unlock unlimited Product Reviews in your Trusted Shops plan","Plus de trafic, moins de retours:<br/>Activez les avis produits illimités dans votre formule Trusted Shops."
"Product Review Sticker","Vignette avis produits"
"Show Product Reviews on Product Detail page on additional tab ""Trusted Shops Reviews""","Afficher les avis produits dans un onglet supplémentaire ""Avis produits Trusted Shops"" sur la page produit"
"Border Colour","Couleur bordure"
"Star Colour","Couleur étoiles"
"Code for Product Review Sticker","Code pour la vignette avis produits"
"Product Review Stars","Étoiles d'évaluation"
"Show Star ratings on Product Detail Page below your Product Name","Afficher les étoiles d'évaluation en-dessous du nom de votre produit"
"Please note that the Product Review Stars will only appear after the product has received its first review.","Merci de noter que les étoiles d'évaluation n’apparaîtront que lorsque le produit aura reçu son premier avis."
"Star Colour","Couleur des étoiles"
"Star Size","Taille des étoiles"
"Font Size","Taille de la police"
"Code for Product Review Stars","Code pour les étoiles d'évaluation"

"Use additional options to customize your Trusted Shops Integration or use the latest code version here. E.g.:","Utilisez les options avancées afin de personnaliser votre intégration ou"
"Place your Trustbadge wherever you want","Affichez votre Trustbadge où vous le souhaitez"
"Deactivate mobile use","Désactivez l’affichage sur mobile"
"Jump from your Product Reviews stars directly to your Product Reviews","Passez en un clic de vos étoiles avis produits au détail de vos avis produits"
"Learn more about %s options and %s configuration.","En savoir plus sur les options de paramétrage du %s ou des %s"
"http://www.trustedshops.co.uk/support/trustbadge/trustbadge-custom/","http://www.trustedshops.fr/support/trustbadge/trustbadge-custom/"
"http://www.trustedshops.co.uk/support/product-reviews/","http://www.trustedshops.fr/support/integrer-les-avis-produits/"
"Trusted Shops Reviews","Avis Trusted Shops"

"Additional Product Attributes","Attributs produits supplémentaires"
"These attributes for Product Reviews are optional and not integrated within Magento standard. You can choose from the product attributes which you have manually added to fill these fields. In this way you can use Google Shopping or improve your data analysis possibilities.","Ces attributs sont optionnels et ne sont pas définis par défaut dans la version standard de Magento. Afin de remplir ces champs, vous pouvez choisir parmi les attributs que vous aurez ajoutés manuellement à vos fiches produits. Ainsi, vous pourrez utiliser Google Shopping et optimiser vos capacités d’analyse des données."
"This is the product identification code for trade items. If you use Google Shopping and want to display your review stars in Shopping and payed product ads, this information is necessary for Google. It also helps in matching your products. Trusted Shops highly recommends to use this option.","Code article international unique identifiant toute unité commerciale. Google exige ce paramètre si vous utilisez Google Shopping ou AdWords et souhaitez y afficher vos étoiles avis clients. Il permet aussi d’associer les avis clients aux produits. Trusted Shops vous recommande vivement d’activer cette option."
"This is the brand name of the product. By setting this variable you  can improve your data analysis possibilities","Ce paramètre correspond à la marque du produit. En l’activant, vous améliorez vos capacités d’analyse"
"Number that associates the product to its manufacturer","Identifiant associant un produit à son fabricant"
